dispersion,nll
0.1,90.54299387679248
0.2,92.38422024238717
0.30000000000000004,94.72286256846488
0.4,96.89143693348217
0.5,98.8401890856882
0.6,100.59424726562143
0.7000000000000001,102.18535866959519
0.8,103.64084991572794
0.9,104.98263119559932
1,106.22804679601772
1.1,107.39088519142065
1.2000000000000002,108.48221631762908
1.3000000000000003,109.51102966155948
1.4000000000000001,110.48470959773367
1.5000000000000002,111.40938879060266
1.6,112.29021259606662
1.7000000000000002,113.1315387912036
1.8000000000000003,113.93709009805394
1.9000000000000001,114.710071957434
2,115.45326446170142
2.1,116.16909486512768
2.2,116.85969533966575
2.3000000000000003,117.52694940524607
2.4000000000000004,118.17252957995852
2.5000000000000004,118.7979281588537
2.6,119.40448256692594
2.7,119.99339639149547
2.8000000000000003,120.56575694667033
2.9000000000000004,121.12255003340935
3.0000000000000004,121.66467241573366
3.1,122.19294242462837
3.2,122.70810901738113
3.3000000000000003,123.21085955518122
3.4000000000000004,123.70182651112422
3.5000000000000004,124.18159328092725
3.6,124.65069923712652
3.7,125.10964414241167
3.8000000000000003,125.55889201762072
3.9000000000000004,125.99887454369204
4,126.42999406371582
4.1,126.85262624050931
4.2,127.2671224163602
4.3,127.6738117143597
4.3999999999999995,128.0730029147728
4.5,128.4649861349341
4.6,128.8500343370224
4.7,129.22840468460322
4.8,129.60033976591916
4.9,129.96606869945245
5,130.32580813520514
5.1,130.67976316337612
5.2,131.0281281406104
5.3,131.37108744270694
5.4,131.70881615157015
5.5,132.04148068323818
5.6,132.3692393630044
5.7,132.6922429529388
5.8,133.01063513650223
5.9,133.32455296441216
6,133.6341272654533
6.1,133.93948302551982
6.2,134.24073973781944
6.3,134.53801172685743
6.4,134.83140844854375
6.5,135.1210347685241
6.6,135.40699122062222
6.7,135.68937424709043
6.8,135.9682764221993
6.9,136.24378666054668
7,136.51599041133446
7.1,136.78496983974367
7.2,137.05080399643208
7.3,137.31356897608492
7.4,137.57333806586436
7.5,137.83018188452795
7.6,138.08416851291776
7.7,138.33536361646114
7.8,138.58383056026827
7.9,138.82963051736238
8,139.07282257053316
8.1,139.31346380826363
8.2,139.5516094151431
8.3,139.78731275714608
8.4,140.0206254621267
8.5,140.2515974958498
8.6,140.48027723385567
8.7,140.70671152943171
8.8,140.9309457779443
8.9,141.15302397776375
9,141.37298878799956
9.1,141.59088158324536
9.2,141.8067425055198
9.3,142.0206105135753
9.4,142.2325234297348
9.5,142.44251798440519
9.6,142.65062985840504
9.700000000000001,142.8568937232367
9.8,143.0613432794208
9.9,143.26401129300638
10,143.46492963036016
