beta_0_init,k_init,lambda_init,xi_fit,f_1_fit,f_2_fit,dif,beta_0_fit,k_fit,lambda_fit,rmse
5,1,0.5,0,1,1,0,3.8037719086661115,0.43994417238415645,0.4879976529717651,12.74914431536949
10,1,0.5,0,1,1,0,3.803761520679807,0.43988938770599395,0.48811958547471174,12.749145081494499
15,1,0.5,0,1,1,0,3.8037006039128474,0.43985263467696645,0.4880213944163281,12.749145541555198
20,1,0.5,0,1,1,0,3.803480873298213,0.43989141356836414,0.487920572612242,12.749150140615246
25,1,0.5,0,1,1,0,3.8036545419594248,0.439992154032691,0.4880109495051266,12.749145821338136
30,1,0.5,0,1,1,0,3.8037248809907487,0.44001886305230015,0.48826609002896687,12.749146531038825
35,1,0.5,0,1,1,0,3.803913365856273,0.43997161905226256,0.4882892311799987,12.7491476428809
5,2,0.5,0,1,1,0,3.8037512441419885,0.44002385802749994,0.48821886293633393,12.7491458575495
10,2,0.5,0,1,1,0,3.8037602414920157,0.43990103844511624,0.4881557109342836,12.749145252536689
15,2,0.5,0,1,1,0,3.803703784110246,0.43980017141247074,0.48795005637313865,12.74914690268257
20,2,0.5,0,1,1,0,3.803644445334795,0.4398937741459967,0.48804585222399277,12.749145540781925
25,2,0.5,0,1,1,0,3.8037209619289136,0.43995099331687626,0.4882154766881894,12.749145618411026
30,2,0.5,0,1,1,0,3.803646005807564,0.43991063573037875,0.4880669696150208,12.749145431579814
35,2,0.5,0,1,1,0,24.015929798276186,2.999998703399254,1.3245676678018405,62.31825127216444
5,2.5,0.5,0,1,1,0,3.8037578608699874,0.43989301498049604,0.4879651755063642,12.749144576315356
10,2.5,0.5,0,1,1,0,3.803893401575269,0.4399724483287054,0.48824775424184463,12.749146619055182
15,2.5,0.5,0,1,1,0,3.8037658683284747,0.4398630183295439,0.4879995633457806,12.749145014921401
20,2.5,0.5,0,1,1,0,3.8037709241875617,0.43988597624994313,0.48790860626837923,12.749144952421714
25,2.5,0.5,0,1,1,0,3.803783879229623,0.43987366805456724,0.4880960192811905,12.74914526120788
30,2.5,0.5,0,1,1,0,3.803937108928568,0.44011716498022035,0.48797490192580967,12.749150986847336
35,2.5,0.5,0,1,1,0,4.090024562004897,2.8030748675450776,6.153165126332321,20.092223730718647
5,1,1,0,1,1,0,3.8037807949527647,0.43995714029870897,0.48801406665362607,12.74914432996374
10,1,1,0,1,1,0,3.803713691394317,0.4398908620437976,0.4880072666966798,12.74914471042086
15,1,1,0,1,1,0,3.803912271935632,0.4399236638373843,0.48858405133535204,12.749158191607899
20,1,1,0,1,1,0,3.8038325733040446,0.4397985738699325,0.48799394409141433,12.749147291223746
25,1,1,0,1,1,0,3.8037861411772833,0.4398598915672375,0.4881187695737475,12.749145836380478
30,1,1,0,1,1,0,3.80380038623239,0.4398604190549495,0.4878179254656309,12.74914631327822
35,1,1,0,1,1,0,23.977736008551478,2.999998157758246,1.3249545575637631,62.31825603449765
5,2,1,0,1,1,0,3.803816047507178,0.439918095146736,0.4882588893464267,12.74914665710674
10,2,1,0,1,1,0,3.803866521027497,0.43996101237704277,0.4881679379731752,12.74914532650651
15,2,1,0,1,1,0,3.8037069778836385,0.4400868557805523,0.48815780750943205,12.749147591196923
20,2,1,0,1,1,0,3.803818412033424,0.4399631251457028,0.4880109995549543,12.749144492759514
25,2,1,0,1,1,0,3.8038120823925547,0.43996418639934093,0.4881438222274788,12.74914469786644
30,2,1,0,1,1,0,3.8038162275560006,0.4399961128995215,0.4880727220842658,12.749144724894311
35,2,1,0,1,1,0,3.803680114020056,0.4400266986556115,0.4882271438302468,12.749146658322653
5,2.5,1,0,1,1,0,3.803803352500277,0.43995433178599624,0.4879913714110062,12.749144445261562
10,2.5,1,0,1,1,0,3.80376657246682,0.439893157630768,0.48805647318606216,12.749144591723613
15,2.5,1,0,1,1,0,3.80385277904421,0.440004930652878,0.4879823196467877,12.749145529697136
20,2.5,1,0,1,1,0,3.8036427708770937,0.43991659843290165,0.48817372972104445,12.749146305324926
25,2.5,1,0,1,1,0,3.8037138635197154,0.44012522853134783,0.4877605304292566,12.749155988528958
30,2.5,1,0,1,1,0,3.803604863180632,0.4398126266708997,0.4878478129257621,12.749148244376302
35,2.5,1,0,1,1,0,3.803840683653734,0.4399649425514257,0.487978782059468,12.7491448225654
