beta_0_init,xi_init,k_init,lambda_init,dif,f_1,f_2,beta_0_fit,xi_fit,k_fit,lambda_fit,nlogll
5,0.057,1,0.5,0.2857142857142857,1,1,6.597420974216449,0.05621367450029056,0.6650911892345326,0.1880932215473839,108.4062539066116
10,0.057,1,0.5,0.2857142857142857,1,1,6.574280156729509,0.0559396743737547,0.6665432574575203,0.18835658464012933,108.40624700944355
15,0.057,1,0.5,0.2857142857142857,1,1,14.113768176052485,0.1194595714491203,0.6008429710641654,0.13487949394949594,108.73672516461602
20,0.057,1,0.5,0.2857142857142857,1,1,20.690559657210166,0.15072448023420404,0.5581497336143502,0.11820742150075592,109.08864309542743
5,0.025,1,0.5,0.2857142857142857,1,1,5.366837865353786,0.03875057591616188,0.6725278282549165,0.21040454882339243,108.433185764589
10,0.025,1,0.5,0.2857142857142857,1,1,6.543272112368612,0.05554429867940448,0.6670249154116731,0.188850367527501,108.40625650987198
15,0.025,1,0.5,0.2857142857142857,1,1,6.543124494897263,0.05554574082322616,0.6670080026890146,0.18886270900472146,108.40625671831624
20,0.025,1,0.5,0.2857142857142857,1,1,30.05526170047906,0.18107561407444023,0.5196461655376079,0.10572062613983896,109.4986393029971
5,0.1,1,0.5,0.2857142857142857,1,1,6.573511644069516,0.05593415152271269,0.6663717545359599,0.18841102817580924,108.40624611922027
10,0.1,1,0.5,0.2857142857142857,1,1,9.750029594902202,0.08890994377386537,0.6402259736106101,0.15642859319744595,108.50050704199093
15,0.1,1,0.5,0.2857142857142857,1,1,15.157052606386268,0.12534499726424259,0.5982191390983689,0.13159847879272374,108.79521744872531
20,0.1,1,0.5,0.2857142857142857,1,1,20.177279560976903,0.14864177075459714,0.5593656725147724,0.11912275109412342,109.0629811970695
5,0.057,2,0.5,0.2857142857142857,1,1,6.089692625865547,0.04943866044309554,0.6682884683375325,0.19608514182656683,108.40997721494124
10,0.057,2,0.5,0.2857142857142857,1,1,11.578226795483841,0.10321672554851263,0.6283172878741973,0.14583409455511762,108.59474566536096
15,0.057,2,0.5,0.2857142857142857,1,1,15.47144662719464,0.1270392207634497,0.5951743572406816,0.13061288353495418,108.81278411474943
20,0.057,2,0.5,0.2857142857142857,1,1,20.685342128274037,0.14923807282889062,1.6020162884729123,0.31618914171817364,112.9812381932979
5,0.025,2,0.5,0.2857142857142857,1,1,5.651778513376727,0.04308743139628415,0.6710893289738014,0.2044131626678209,108.42106831900912
10,0.025,2,0.5,0.2857142857142857,1,1,10.526857111536735,0.09531312825349555,0.635463150561768,0.15151480176721915,108.53889663765447
15,0.025,2,0.5,0.2857142857142857,1,1,11.463117069154425,0.10229906390627627,0.6219268335259639,0.1460829058285073,108.58872570243463
20,0.025,2,0.5,0.2857142857142857,1,1,16.7107957083554,0.1332445469904802,0.5801175488429007,0.12686818500315203,108.88144905949541
5,0.1,2,0.5,0.2857142857142857,1,1,5.017510619911767,0.03304787574925049,0.6759465745827086,0.21919962396252926,108.45455816720103
10,0.1,2,0.5,0.2857142857142857,1,1,10.543934225135855,0.09546146042541521,0.6352580636495524,0.15146297655176974,108.53977158833648
15,0.1,2,0.5,0.2857142857142857,1,1,6.58075191068294,0.05600892499025868,0.6663871543543118,0.18827075485316633,108.40620616939381
20,0.1,2,0.5,0.2857142857142857,1,1,20.566978461003778,0.14875889297164516,1.6054952948118624,0.31683982954375034,112.97659525061466
5,0.057,2.5,0.5,0.2857142857142857,1,1,5.864690006374117,0.046285617052729516,0.6706880134161066,0.20022265404820272,108.41460651179767
10,0.057,2.5,0.5,0.2857142857142857,1,1,10.95064797561989,0.09858712401856726,0.6323034692948003,0.1491005921039279,108.5609781606312
15,0.057,2.5,0.5,0.2857142857142857,1,1,15.309954073863315,0.12617992372083725,0.5952045409522213,0.13106385641398818,108.80375510640484
20,0.057,2.5,0.5,0.2857142857142857,1,1,20.869772044279255,0.14995317259223806,1.5998853031852316,0.31538022418266987,112.98861836312382
5,0.025,2.5,0.5,0.2857142857142857,1,1,7.322758502250345,0.06495361426495752,0.6518189066953374,0.17792298758905198,108.4147473449748
10,0.025,2.5,0.5,0.2857142857142857,1,1,13.290357909890806,0.11458426036421218,0.6150802971221203,0.13825918408887633,108.69016429512305
15,0.025,2.5,0.5,0.2857142857142857,1,1,10.518820198004413,0.09519760733886748,0.630750102654307,0.15138107686431207,108.53870702290016
20,0.025,2.5,0.5,0.2857142857142857,1,1,6.572899623972512,0.055935351326833666,0.6663127865429018,0.18842033591018653,108.40624571127242
5,0.1,2.5,0.5,0.2857142857142857,1,1,5.110369941806475,0.03459939471771345,0.6753455514251594,0.21676444050879468,108.44807539281754
10,0.1,2.5,0.5,0.2857142857142857,1,1,9.74732340864887,0.0889067504826118,0.6413160237585374,0.15654195379376626,108.50036050933703
15,0.1,2.5,0.5,0.2857142857142857,1,1,6.546009183947998,0.05558242600483891,0.6673063600125098,0.18882506744798874,108.40625759344724
20,0.1,2.5,0.5,0.2857142857142857,1,1,20.138770705425998,0.14708419920514643,1.568260548403821,0.3131992775140035,112.95737123667054
5,0.057,1,1,0.2857142857142857,1,1,5.154881031292306,0.03532874847348995,0.676147329556177,0.2157704045315194,108.44521134761044
10,0.057,1,1,0.2857142857142857,1,1,6.1009119635180005,0.049621406419272165,0.670166890167935,0.19603788187603088,108.40978539623028
15,0.057,1,1,0.2857142857142857,1,1,6.577482682112148,0.05598493219618495,0.6667815193396398,0.1884251387046047,108.40625140248628
20,0.057,1,1,0.2857142857142857,1,1,19.545107473196392,0.14461758169100997,1.592870535266401,0.3187941723003366,112.93283217354372
5,0.025,1,1,0.2857142857142857,1,1,5.927791069989835,0.047176417902796405,0.66993582472617,0.19908164242738285,108.41310031158703
10,0.025,1,1,0.2857142857142857,1,1,9.231191265712773,0.08468853394106668,0.6741754611430522,0.1615463585993931,108.48650521825164
15,0.025,1,1,0.2857142857142857,1,1,16.206048609819746,0.13085382418537797,0.5920511037354363,0.12859745540047873,108.85369793463421
20,0.025,1,1,0.2857142857142857,1,1,3.433855424383169,0,0.6758857601788189,0.28482068634523877,108.70992516848604
5,0.1,1,1,0.2857142857142857,1,1,5.083658668369987,0.03416068886857474,0.6747371353533602,0.21733654174535608,108.44987894805685
10,0.1,1,1,0.2857142857142857,1,1,10.925690448070657,0.09842128129492836,0.634190484603605,0.1493178296270809,108.55972987481165
15,0.1,1,1,0.2857142857142857,1,1,15.734857784586596,0.12843506896239373,0.5941962325976619,0.12988181459528209,108.8274836607989
20,0.1,1,1,0.2857142857142857,1,1,20.336010813556832,0.14783484643840689,1.5826108220394537,0.31469558749246557,112.96607736031781
5,0.057,2,1,0.2857142857142857,1,1,6.572477478134937,0.05589004560225666,0.6661954264838155,0.18837810893746448,108.40625220128669
10,0.057,2,1,0.2857142857142857,1,1,9.450457164814479,0.08582061422604023,0.594815599194668,0.1559666360112596,108.51839444481996
15,0.057,2,1,0.2857142857142857,1,1,15.724152639092479,0.1283516328796516,0.5927216586464017,0.12984305351247905,108.82683466259545
20,0.057,2,1,0.2857142857142857,1,1,20.6186508669508,0.14898244440263492,1.6014163441279143,0.3163848250894816,112.97849722066438
5,0.025,2,1,0.2857142857142857,1,1,6.497885212478566,0.05499193856698636,0.6685910143835369,0.1894650504948081,108.40637644990768
10,0.025,2,1,0.2857142857142857,1,1,11.08569882026055,0.09958708788319362,0.6300914934352849,0.1483115939046437,108.56813416979689
15,0.025,2,1,0.2857142857142857,1,1,18.064015403056146,0.1397026688995422,0.5773360886744792,0.12377008605452149,108.95415506862149
20,0.025,2,1,0.2857142857142857,1,1,19.988646382304907,0.1465086919873208,1.5430242859893972,0.31023253534417905,112.95095516540339
5,0.1,2,1,0.2857142857142857,1,1,3.673881649058095,0.0058929810408815085,0.6740592365055206,0.2701873955626536,108.64630197036624
10,0.1,2,1,0.2857142857142857,1,1,6.571337017926154,0.05589076397918333,0.6662517589328639,0.18844842437966342,108.40625041568727
15,0.1,2,1,0.2857142857142857,1,1,17.119790988219403,0.13532823759896806,0.5837638807654493,0.12603352071326465,108.90349672293205
20,0.1,2,1,0.2857142857142857,1,1,6.577645402654431,0.05600616235677743,0.6667930267751421,0.18827435116054908,108.40625595723498
5,0.057,2.5,1,0.2857142857142857,1,1,6.559425054679979,0.05574636450776363,0.66649582742661,0.18861083104239257,108.4062668391293
10,0.057,2.5,1,0.2857142857142857,1,1,9.704106013253922,0.08852889568504228,0.6411996196348315,0.1567561538708166,108.49832237129758
15,0.057,2.5,1,0.2857142857142857,1,1,12.881141664033551,0.11195158504691267,0.611040491446313,0.13966013343826372,108.66715776194056
20,0.057,2.5,1,0.2857142857142857,1,1,12.829798540293785,0.11165709185312422,0.600984065338458,0.13947107903649048,108.66734962017831
5,0.025,2.5,1,0.2857142857142857,1,1,6.749637269446133,0.05816180348918705,0.6660363399551819,0.1859062350205565,108.40673887978963
10,0.025,2.5,1,0.2857142857142857,1,1,9.141203643951815,0.08355122229409047,0.6459141230436262,0.16082573011007667,108.47293537520444
15,0.025,2.5,1,0.2857142857142857,1,1,19.083704110201648,0.14416621492586773,0.5699090286687863,0.12147850087797758,109.00749053799163
20,0.025,2.5,1,0.2857142857142857,1,1,24.087291540372924,0.16301038777367127,0.5363784441555216,0.11256315264347865,109.2483937981131
5,0.1,2.5,1,0.2857142857142857,1,1,7.611148839868735,0.0682744915076589,0.6603134365523997,0.17522829321173777,108.41990327020048
10,0.1,2.5,1,0.2857142857142857,1,1,11.36117685241102,0.10162885605292053,0.6291522370749565,0.14689564199691357,108.58290887205784
15,0.1,2.5,1,0.2857142857142857,1,1,19.080306741644563,0.14415090040372408,0.569909048344565,0.12148243908126684,109.00731286339085
20,0.1,2.5,1,0.2857142857142857,1,1,21.13147749899977,0.15235254838217843,0.5532726784216597,0.11731705763189183,109.11021152345828
